Date,TAMSAT,ARC2,RFE2,CHIRPS,TRMM
2002-05-01,0,0,0,0,0
2002-05-02,0,0,0,0.6537542,0
2002-05-03,0,0,0,0,0
2002-05-04,6.1,0,0.3034006,0.899449,3.751933
2002-05-05,0,0,0,0.8659978,0
2002-05-06,0,0,0,0,0
2002-05-07,0,0,0,4.060757,0
2002-05-08,0,0,0,0,0
2002-05-09,0,0,0,0,0
2002-05-10,0,0,0,0,0
2002-05-11,0,0,0,0,0
2002-05-12,0,0,0,0,0
2002-05-13,0,0,0,0,0
2002-05-14,0,0,0,0,0
2002-05-15,0,0,0,0,0
2002-05-16,0,0,0,0,0
2002-05-17,0,0,0,0,0
2002-05-18,0,0,0,0,0
2002-05-19,0,0,0,0,0
2002-05-20,0,0,0,0,0
2002-05-21,0,0,0,0,0
2002-05-22,0,0,0,0.1451344,0
2002-05-23,0,0,0,0,0
2002-05-24,0,0,0,0,0
2002-05-25,0,0,0,0,0
2002-05-26,0,0,0,5.255496,0
2002-05-27,0,0,0,0,0
2002-05-28,0,0,0,0.2023265,0
2002-05-29,0,0,0,0,0
2002-05-30,0,0,0,0,0
2002-05-31,0,0,0,0,0
2002-06-01,0,0,0,0,0
2002-06-02,0,0,0,0,0
2002-06-03,0,0,0,0,0
2002-06-04,0,0,0,0,0
2002-06-05,0,0,0,0,0
2002-06-06,0,0,0,0,0
2002-06-07,0,0,0,0,0
2002-06-08,0,0,0,0,0
2002-06-09,0.3,0,0,0,0
2002-06-10,1,8.221583,1.118805,0.4560887,0
2002-06-11,0,0,0,0,0
2002-06-12,0,0,0,0,0
2002-06-13,0,0,0,0,0
2002-06-14,0,0,0,0,0
2002-06-15,0,0,0,0,0
2002-06-16,0.1,0,0,0,0
2002-06-17,0,0,0,0,0
2002-06-18,0.6,0,0,0,0
2002-06-19,0.5,0,0.6000423,0,0
2002-06-20,0.1,0,0,0,0
2002-06-21,0,3.217066,0.7133749,0,0.36
2002-06-22,0,0,0,0,0
2002-06-23,0,0,0,0,0
2002-06-24,0,0,0,0,0
2002-06-25,0,0,0,0,0
2002-06-26,0,0,0,0,0
2002-06-27,0.5,0,0,0,0
2002-06-28,0,0,0,0,0
2002-06-29,0,0,0,0,0
2002-06-30,0,0,0,0,0
2002-07-01,0,0,0,0,0
2002-07-02,0,0,0,0,0
2002-07-03,0,0,0,0,0
2002-07-04,0,0,0,0,0
2002-07-05,0,0.4082589,0.3590584,0,0
2002-07-06,0,0,0,0,0
2002-07-07,0,0,0,0,0
2002-07-08,0,0,0,0,0
2002-07-09,0,0,0,0,0
2002-07-10,0,0,0,0,0
2002-07-11,0,0,0,0,0
2002-07-12,0,0,0,0,0
2002-07-13,0,0,0,0,0
2002-07-14,0,0,0,0,0
2002-07-15,0,0,0,0,0
2002-07-16,0,0,0,0,0
2002-07-17,0,0,0,0,0
2002-07-18,0,0,0,0,0
2002-07-19,0,0,0,0,0
2002-07-20,0.4,0,0,0,0
2002-07-21,0,0,0,0,0
2002-07-22,0,0,0,0,0
2002-07-23,0,0,0,0,0
