Date,Year,Month,Day,Dekad,Pentad,DOY,DOY366,MonthDay,YearMonth,YearDekad,YearPentad,SomaliSeason,file_list.in
2001-01-01,2001,1,1,1,1,1,1,101,200101,200101,200101,Dehr,africa_rfe.20010101.tif.zip
2001-01-02,2001,1,2,1,1,2,2,102,200101,200101,200101,Dehr,africa_rfe.20010102.tif.zip
2001-01-03,2001,1,3,1,1,3,3,103,200101,200101,200101,Dehr,africa_rfe.20010103.tif.zip
2001-01-04,2001,1,4,1,1,4,4,104,200101,200101,200101,Dehr,africa_rfe.20010104.tif.zip
2001-01-05,2001,1,5,1,1,5,5,105,200101,200101,200101,Dehr,africa_rfe.20010105.tif.zip
2001-01-06,2001,1,6,1,2,6,6,106,200101,200101,200102,Dehr,africa_rfe.20010106.tif.zip
2001-01-07,2001,1,7,1,2,7,7,107,200101,200101,200102,Dehr,africa_rfe.20010107.tif.zip
2001-01-08,2001,1,8,1,2,8,8,108,200101,200101,200102,Dehr,africa_rfe.20010108.tif.zip
2001-01-09,2001,1,9,1,2,9,9,109,200101,200101,200102,Dehr,africa_rfe.20010109.tif.zip
2001-01-10,2001,1,10,1,2,10,10,110,200101,200101,200102,Dehr,africa_rfe.20010110.tif.zip
2001-01-11,2001,1,11,2,3,11,11,111,200101,200102,200103,Dehr,africa_rfe.20010111.tif.zip
2001-01-12,2001,1,12,2,3,12,12,112,200101,200102,200103,Dehr,africa_rfe.20010112.tif.zip
2001-01-13,2001,1,13,2,3,13,13,113,200101,200102,200103,Dehr,africa_rfe.20010113.tif.zip
2001-01-14,2001,1,14,2,3,14,14,114,200101,200102,200103,Dehr,africa_rfe.20010114.tif.zip
2001-01-15,2001,1,15,2,3,15,15,115,200101,200102,200103,Dehr,africa_rfe.20010115.tif.zip
2001-01-16,2001,1,16,2,4,16,16,116,200101,200102,200104,Dehr,africa_rfe.20010116.tif.zip
2001-01-17,2001,1,17,2,4,17,17,117,200101,200102,200104,Dehr,africa_rfe.20010117.tif.zip
2001-01-18,2001,1,18,2,4,18,18,118,200101,200102,200104,Dehr,africa_rfe.20010118.tif.zip
2001-01-28,2001,1,28,3,6,28,28,128,200101,200103,200106,Jiilal,africa_rfe.20010128.tif.zip
2001-01-29,2001,1,29,3,6,29,29,129,200101,200103,200106,Jiilal,africa_rfe.20010129.tif.zip
2001-01-30,2001,1,30,3,6,30,30,130,200101,200103,200106,Jiilal,africa_rfe.20010130.tif.zip
2001-01-31,2001,1,31,3,6,31,31,131,200101,200103,200106,Jiilal,africa_rfe.20010131.tif.zip
2001-02-01,2001,2,1,4,7,32,32,201,200102,200104,200107,Jiilal,africa_rfe.20010201.tif.zip
2001-02-02,2001,2,2,4,7,33,33,202,200102,200104,200107,Jiilal,africa_rfe.20010202.tif.zip
2001-02-03,2001,2,3,4,7,34,34,203,200102,200104,200107,Jiilal,africa_rfe.20010203.tif.zip
2001-02-04,2001,2,4,4,7,35,35,204,200102,200104,200107,Jiilal,africa_rfe.20010204.tif.zip
2001-02-05,2001,2,5,4,7,36,36,205,200102,200104,200107,Jiilal,africa_rfe.20010205.tif.zip
2001-02-06,2001,2,6,4,8,37,37,206,200102,200104,200108,Jiilal,africa_rfe.20010206.tif.zip
2001-02-07,2001,2,7,4,8,38,38,207,200102,200104,200108,Jiilal,africa_rfe.20010207.tif.zip
2001-02-08,2001,2,8,4,8,39,39,208,200102,200104,200108,Jiilal,africa_rfe.20010208.tif.zip
2001-02-09,2001,2,9,4,8,40,40,209,200102,200104,200108,Jiilal,africa_rfe.20010209.tif.zip
2001-02-10,2001,2,10,4,8,41,41,210,200102,200104,200108,Jiilal,africa_rfe.20010210.tif.zip
2001-02-11,2001,2,11,5,9,42,42,211,200102,200105,200109,Jiilal,africa_rfe.20010211.tif.zip
2001-02-12,2001,2,12,5,9,43,43,212,200102,200105,200109,Jiilal,africa_rfe.20010212.tif.zip
2001-02-13,2001,2,13,5,9,44,44,213,200102,200105,200109,Jiilal,africa_rfe.20010213.tif.zip
