Date,Year,Month,Day,Dekad,Pentad,DOY,DOY366,MonthDay,YearMonth,YearDekad,YearPentad,SomaliSeason,allfile_list.in
2002-01-01,2002,1,1,1,1,1,1,101,200201,200201,200201,Dehr,2002/01/rfe2002_01_01.v3.1.nc
2002-01-02,2002,1,2,1,1,2,2,102,200201,200201,200201,Dehr,2002/01/rfe2002_01_02.v3.1.nc
2002-01-03,2002,1,3,1,1,3,3,103,200201,200201,200201,Dehr,2002/01/rfe2002_01_03.v3.1.nc
2002-01-04,2002,1,4,1,1,4,4,104,200201,200201,200201,Dehr,2002/01/rfe2002_01_04.v3.1.nc
2002-01-05,2002,1,5,1,1,5,5,105,200201,200201,200201,Dehr,2002/01/rfe2002_01_05.v3.1.nc
2002-01-06,2002,1,6,1,2,6,6,106,200201,200201,200202,Dehr,2002/01/rfe2002_01_06.v3.1.nc
2002-01-07,2002,1,7,1,2,7,7,107,200201,200201,200202,Dehr,2002/01/rfe2002_01_07.v3.1.nc
2002-01-08,2002,1,8,1,2,8,8,108,200201,200201,200202,Dehr,2002/01/rfe2002_01_08.v3.1.nc
2002-01-09,2002,1,9,1,2,9,9,109,200201,200201,200202,Dehr,2002/01/rfe2002_01_09.v3.1.nc
2002-01-10,2002,1,10,1,2,10,10,110,200201,200201,200202,Dehr,2002/01/rfe2002_01_10.v3.1.nc
2002-01-11,2002,1,11,2,3,11,11,111,200201,200202,200203,Dehr,2002/01/rfe2002_01_11.v3.1.nc
2002-01-12,2002,1,12,2,3,12,12,112,200201,200202,200203,Dehr,2002/01/rfe2002_01_12.v3.1.nc
2002-01-13,2002,1,13,2,3,13,13,113,200201,200202,200203,Dehr,2002/01/rfe2002_01_13.v3.1.nc
2002-01-14,2002,1,14,2,3,14,14,114,200201,200202,200203,Dehr,2002/01/rfe2002_01_14.v3.1.nc
2002-01-15,2002,1,15,2,3,15,15,115,200201,200202,200203,Dehr,2002/01/rfe2002_01_15.v3.1.nc
2002-01-16,2002,1,16,2,4,16,16,116,200201,200202,200204,Dehr,2002/01/rfe2002_01_16.v3.1.nc
2002-01-17,2002,1,17,2,4,17,17,117,200201,200202,200204,Dehr,2002/01/rfe2002_01_17.v3.1.nc
2002-01-18,2002,1,18,2,4,18,18,118,200201,200202,200204,Dehr,2002/01/rfe2002_01_18.v3.1.nc
2002-01-19,2002,1,19,2,4,19,19,119,200201,200202,200204,Dehr,2002/01/rfe2002_01_19.v3.1.nc
2002-01-20,2002,1,20,2,4,20,20,120,200201,200202,200204,Dehr,2002/01/rfe2002_01_20.v3.1.nc
2002-01-21,2002,1,21,3,5,21,21,121,200201,200203,200205,Jiilal,2002/01/rfe2002_01_21.v3.1.nc
2002-01-22,2002,1,22,3,5,22,22,122,200201,200203,200205,Jiilal,2002/01/rfe2002_01_22.v3.1.nc
2002-01-23,2002,1,23,3,5,23,23,123,200201,200203,200205,Jiilal,2002/01/rfe2002_01_23.v3.1.nc
2002-01-24,2002,1,24,3,5,24,24,124,200201,200203,200205,Jiilal,2002/01/rfe2002_01_24.v3.1.nc
2002-01-25,2002,1,25,3,5,25,25,125,200201,200203,200205,Jiilal,2002/01/rfe2002_01_25.v3.1.nc
2002-01-26,2002,1,26,3,6,26,26,126,200201,200203,200206,Jiilal,2002/01/rfe2002_01_26.v3.1.nc
2002-01-27,2002,1,27,3,6,27,27,127,200201,200203,200206,Jiilal,2002/01/rfe2002_01_27.v3.1.nc
2002-01-28,2002,1,28,3,6,28,28,128,200201,200203,200206,Jiilal,2002/01/rfe2002_01_28.v3.1.nc
2002-01-29,2002,1,29,3,6,29,29,129,200201,200203,200206,Jiilal,2002/01/rfe2002_01_29.v3.1.nc
2002-01-30,2002,1,30,3,6,30,30,130,200201,200203,200206,Jiilal,2002/01/rfe2002_01_30.v3.1.nc
2002-01-31,2002,1,31,3,6,31,31,131,200201,200203,200206,Jiilal,2002/01/rfe2002_01_31.v3.1.nc
2002-02-01,2002,2,1,4,7,32,32,201,200202,200204,200207,Jiilal,2002/02/rfe2002_02_01.v3.1.nc
2002-02-02,2002,2,2,4,7,33,33,202,200202,200204,200207,Jiilal,2002/02/rfe2002_02_02.v3.1.nc
2002-02-03,2002,2,3,4,7,34,34,203,200202,200204,200207,Jiilal,2002/02/rfe2002_02_03.v3.1.nc
2002-02-04,2002,2,4,4,7,35,35,204,200202,200204,200207,Jiilal,2002/02/rfe2002_02_04.v3.1.nc
